Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-06 23:55:48.048 +0100,"Failure",0:00:23,1,0,1,"20160606_235548.048/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""WunderlistIcon""",0
2016-06-06 23:56:41.041 +0100,"Failure",0:00:23,1,0,1,"20160606_235641.041/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""WunderlistIcon""",0
2016-06-06 23:57:48.048 +0100,"Running",0:00:00,0,0,0,"20160606_235748.048/LogFile.txt","","",0
2016-06-06 23:58:07.007 +0100,"Failure",0:00:22,1,0,1,"20160606_235807.007/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Icon/WunderlistIcon""",0
2016-06-06 23:58:41.041 +0100,"Failure",0:00:00,1,0,0,"20160606_235841.041/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'wunderlisticon'",0
2016-06-06 23:58:54.054 +0100,"Failure",0:00:23,1,0,1,"20160606_235854.054/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""Icon/WunderlistIcon""",0
2016-06-07 00:04:10.010 +0100,"Running",0:00:00,0,0,0,"20160607_000410.010/LogFile.txt","","",0
2016-06-07 00:04:23.023 +0100,"Failure",0:00:01,1,0,1,"20160607_000423.023/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2016-06-07 00:07:14.014 +0100,"Running",0:00:00,0,0,0,"20160607_000714.014/LogFile.txt","","",0
2016-06-07 00:07:26.026 +0100,"Failure",0:00:01,1,0,1,"20160607_000726.026/LogFile.txt","","Error Running Script Command -- waitfor Error - Too Few Parameters, please use waitfor time, image1[, imageX]",0
2016-06-07 21:14:37.037 +0100,"Failure",0:00:03,1,0,0,"20160607_211437.037/LogFile.txt","","Connection Failed -- Unable to connect to Server:i-b5223a19 on port:0\nError resolving host i-b5223a19\n",0
