Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-03 15:31:15.015 +0100,"Failure",0:00:01,1,0,0,"20160603_153115.015/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'List'.",0
2016-06-03 15:33:20.020 +0100,"Failure",0:00:00,1,0,0,"20160603_153320.020/LogFile.txt","","SenseTalk Compiler Exception -- in csv:\nSyntax Error at line 14: Syntax Error - can't understand ""repeat"" at or near character 358",0
2016-06-03 15:33:25.025 +0100,"Failure",0:00:00,1,0,0,"20160603_153325.025/LogFile.txt","","SenseTalk Compiler Exception -- in csv:\nSyntax Error at line 14: Syntax Error - can't understand ""repeat"" at or near character 358",0
2016-06-03 15:33:47.047 +0100,"Running",0:00:00,0,0,0,"20160603_153347.047/LogFile.txt","","",0
2016-06-03 15:35:07.007 +0100,"Running",0:00:00,0,0,0,"20160603_153507.007/LogFile.txt","","",0
2016-06-03 15:36:03.003 +0100,"Success",0:01:28,0,0,0,"20160603_153603.003/LogFile.txt","","",1
2016-06-03 15:39:22.022 +0100,"Failure",0:00:18,1,0,0,"20160603_153922.022/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'List'.",0
2016-06-03 15:41:18.018 +0100,"Failure",0:00:18,1,0,0,"20160603_154118.018/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'List'.",0
2016-06-03 15:41:53.053 +0100,"Failure",0:00:18,1,0,0,"20160603_154153.053/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'List'.",0
2016-06-03 15:42:36.036 +0100,"Failure",0:00:18,1,0,0,"20160603_154236.036/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'List'.",0
2016-06-03 15:43:32.032 +0100,"Failure",0:00:17,1,0,0,"20160603_154332.032/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'List'.",0
2016-06-03 15:44:16.016 +0100,"Failure",0:00:18,1,0,0,"20160603_154416.016/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'create'",0
2016-06-03 15:45:02.002 +0100,"Failure",0:00:18,1,0,0,"20160603_154502.002/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'create'",0
2016-06-03 15:45:44.044 +0100,"Failure",0:00:18,1,0,0,"20160603_154544.044/LogFile.txt","","SenseTalk Compiler Exception -- in create:\nSyntax Error at line 1: Syntax Error - can't understand [end of script] at or near character 10",0
2016-06-03 15:51:57.057 +0100,"Failure",0:00:17,1,0,0,"20160603_155157.057/LogFile.txt","","SenseTalk Compiler Exception -- in create:\nSyntax Error at line 1: Syntax Error - can't understand [end of script] at or near character 10",0
2016-06-03 15:52:40.040 +0100,"Running",0:00:00,0,0,0,"20160603_155240.040/LogFile.txt","","",0
2016-06-03 15:55:41.041 +0100,"Running",0:00:00,0,0,0,"20160603_155541.041/LogFile.txt","","",0
2016-06-03 15:56:00.000 +0100,"Running",0:00:00,0,0,0,"20160603_155600.000/LogFile.txt","","",0
2016-06-03 15:56:49.049 +0100,"Failure",0:00:51,1,0,1,"20160603_155649.049/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""(TEXT:""Recipes"")"" within 3.00 seconds",0
2016-06-03 15:58:29.029 +0100,"Success",0:01:06,0,0,0,"20160603_155829.029/LogFile.txt","","",1
2016-06-03 16:03:02.002 +0100,"Failure",0:00:00,1,0,0,"20160603_160302.002/LogFile.txt","","SenseTalk Compiler Exception -- in csv:\nSyntax Error at line 19: Syntax Error - can't understand "")"" at or near character 391",0
2016-06-03 16:03:48.048 +0100,"Failure",0:00:00,1,0,0,"20160603_160348.048/LogFile.txt","","SenseTalk Compiler Exception -- in csv:\nSyntax Error at line 22: Syntax Error - can't understand ""do"" at or near character 424",0
2016-06-03 16:04:10.010 +0100,"Failure",0:00:33,1,0,0,"20160603_160410.010/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'create'",0
